微博id,微博正文,发布时间,点赞数,转发数,评论数
ObOTI1xjS,今年1-3月，奔驰中国销量前三城市：上海，北京，成都今年1-3月：宝马中国销量前三城市：北京，上海，成都今年1-3月：奥迪中国销量前三城市：北京，成都，上海30万以上，你还是首选BBA？[你好]  [组图共3张] 原图 ,2024-04-28 16:33,173,16,36
ObOIyx6Yk,雷军：纯电车，除了特斯拉，大家都是亏，只是谁亏的多谁亏的少而已，少的一辆亏四五万，多的亏十几万，未来的投资发展方向，是油车转电车，初期没规模都要亏钱，做这件事要准备充足，一定要有规模。雷军称，今天小米汽车定价都是亏钱的，让我定价定14.9万，只是亏的更多而已，目前小米汽车亏的是偏少的，雷军称，一年卖30-40万以后可能就赚钱，希望明后年就可以。 原图 ,2024-04-28 16:06,167,10,47
ObODVj0zt,正在看直播，面对汽车价格战，雷军表示，小米最不怕的就是卷，我们最不怕的就是价格战，对小米来说这都不算个什么事，价格战合理进行，大家别私下搞一堆小动作。  原图 ,2024-04-28 15:55,179,8,32
ObOtdizTJ,不管什么牌子的车，宣传智能驾驶辅助功能，作为用户在开车的时候，自己一定要全神贯注驾驶，因为智能驾驶辅助，始终都是辅助功能，人驾永远高于智驾，还没到汽车它自己会满大街跑的时候，开车还是要有良好的驾驶意识和操控能力，智能驾驶辅助，它就是个辅助你的功能，让你开车更轻松一点而已  ,2024-04-28 15:28,155,7,35
ObNCp8RFg,刷新行业性能跑分记录，联发科天玑9300+跑分曝光！安兔兔跑分超230万，GeekBench单核2313分，多核7743分，这两大平台跑分表现都是一流，比天玑9300成绩提升不少，单核+双核双提升，这挺好的，能效比是天玑优势，据韩伯啸说采用了全大核架构。另外首发天玑9300+的手机可能会是vivo X100s了，5月发布上市，搭配蓝厂调校，X100s或许是新一代性能王者，必须等一波发布会了 [组图共3张] 原图 ,2024-04-28 13:18,280,30,137
ObMMd1Qrd,理想汽车高管回应降价：原来我们的判断太乐观了。  [组图共2张] 原图 ,2024-04-28 11:09,180,11,31
ObMmJpb0K,比亚迪王皓宇：很多人认为比亚迪是个车企，其实不仅仅是这样，目前市场上的智能手机，包括华为、小米手机实际上大部分是比亚迪生产的。比亚迪是目前中国最大的电子代工厂，该板块一年创造营收1500亿元左右。  原图 ,2024-04-28 10:07,189,9,32
ObM09lCkD,#iPhone充电切勿放枕头下#不管啥牌子的手机，充电的时候也不要放枕头下面啊，充电时手机/充电器会发热的，放枕头或者别的东西下面，影响散热  原图 ,2024-04-28 09:11,170,4,22
ObH0GpYJx,郭明錤认为，由于需求降幅超预期，苹果已经削减Vision Pro头显出货量，2024年出货40-45万台，原来市场预期70-80万台或以上国行版Vision Pro过一两个月也该来了，除了特殊教育和医疗行业，现在买个这玩意，新鲜感一过，一般都是吃灰的概率比较大[我走了]  原图 ,2024-04-27 20:29,164,6,31
ObG6g9BeS,iPhone 14 Pro电池掉到85%了，用了还没两年，这正常吗？  原图 ,2024-04-27 18:10,231,10,73
