微博id,微博正文,发布时间,点赞数,转发数,评论数
Ocq0o8IiM, 5月又是一场血战，节后不久 阿真的Neo6也要来了，不带“SE”的... 另外，中端价位这块还有红米、一加已有的机型，现在真卷  ,2024-05-02 15:02,208,19,100
Ocpjmzfr0,“余承东卸任华为终端 BG CEO！ ” ..... 这个新闻，有人说大嘴明升暗降了，但阿焦想说，是明升实也升...通知完整版的后面一句话被省略了 “余承东担任终端BG董事长” 、“智能终端与智能汽车部件IRB主任” 。  ,2024-05-02 13:16,810,27,176
OcnKLhTgY,阿焦新料，苹果iPad这次要升级的新OLED屏幕技术，和双层OLED原理差不多  ,2024-05-02 09:18,425,36,162
Ochn0pT2r,"咳咳，5月要见到的新平板还是用了柔光屏，11.5""规格，定位应该是中档水平  ",2024-05-01 17:03,674,42,240
OcgFavUmT,嗯哼，苹果要做3nm AI服务器芯片，消息不太精准... 苹果弄的是专用AI计算卡，自给自足用的，当然微软、Google Cloud、Meta也有基于Arm构架做AI计算卡。结合昨天那条消息，可以推理出一个事情，苹果确实想 “发大来做” 自己的AI，甚至不惜替ARM开发新SME，来试验自己未来AI计算卡在大功耗运转下的水平。 ,2024-05-01 15:15,510,43,170
Ocf0uaB1X,听闻，大菊还有另一个小折叠，可能隶属于noa小折叠，也有可能是新名字，目前不确定能否顺利发布  ,2024-05-01 11:02,683,47,199
OcepxwhnM,这机器有个特点，渲染图不好看，但真机却出奇好看....  [组图共2张] 原图 ,2024-05-01 09:31,950,45,238
Oc84dFa8T,机圈最近有一个大新闻，就是ARM Cortex-X5超大核。外界预测，新X5确定会有显著提升，新SME ISA的引入，可以使得FPU实现更大的长度（4*128bit→4*256bit），整体IPC预计提升超15%，超越A17 Pro。再来个料吧：ARM公司的新SME ISA传闻是Apple PA团队带着ARM做的...没想到吧  原图 ,2024-04-30 17:22,636,47,212
Oc7sSyPpD,别再问我骁龙更不更了…更 更 更  ,2024-04-30 15:50,766,40,206
Oc6Pw80hF,原来SUV真的可以跑沙，但得是越野SUV…#新能源汽车能穿越塔漠N39线么# #豹5穿越塔漠N39创世界纪录#  原图 ,2024-04-30 14:13,611,40,143
Oc5UGclf7,已经看到果子的下一代iPhone的新配色... 有一个绿色，玻璃材质+湖水绿的感觉，透视感还行....就是不太能理解，为什么机身色那么好看，Deco非要做异色处理，整体放在一块就巨丑。  原图 ,2024-04-30 11:53,381,41,133
Oc5AdDj0X,#华为与苹果同日举办新品发布会# 5.7，苹果和华为...至于华为这边，确实有一个未发布的新平板，双方都拿出“平板”做对垒  原图 ,2024-04-30 11:02,934,48,333
Oc50Fr6Gl,嗯哼，豪威有料了：他们家正在准备一大批新的手机CIS，下半年到明年就会搭载上机，快的话下半年会有中端CMOS，即OV50M的到来。在交流会上，他们没有正面回应是否拿下三星和苹果的订单，说是有保密协议不能说...  ,2024-04-30 09:35,788,56,222
ObZijr6eN,是很难有巨大突破了，但换个角度想，是不是已经看到硅芯的尽头了... 到时候，你们还会以什么动力去换手机、电脑了呢？  原图 ,2024-04-29 19:02,1061,52,304
ObZ0t1iSv,想问什么，问吧  原图 ,2024-04-29 18:18,1054,42,603
ObYmG4956,海外市场的突破口，还得是穿戴和平板....  ,2024-04-29 16:40,792,51,193
ObXRPvOEb,一个充电器，离量产相对比较远但是已经有样品，是给P用的全能充，双C口+100W+可折叠插脚，对于M本和P手机双用户来说还行他家很久没出过大功率充电器了...  ,2024-04-29 15:24,627,42,196
ObWpk7fGt,vivo这个牌子做产品还是稳扎稳打的，好产品越来越多，X90系列，X100系列... 攻克了拍照，折叠屏这块短板也被“搞掂”。那么，vivo X Fold3 Pro能否平替直板机呢？看我点评的视频吧。#亿点曝光计划# 定焦数码的微博视频  ,2024-04-29 11:41,1552,70,305
ObVMJBJRV,有人说Deco不好看，也有说Deco美翻了... 我大概会说，挺有辨识度的。真要买华为Pura70，强烈建议你们多留意光织格纹和星芒纹的版本，在光线下会有一些“交错”设计。配合上三角形Deco，较于以前的设计来说，变得更“大胆、张扬”了。#被Pura70的颜值圈粉了# 还是老传统艺能，真机比渲染图好看不少，三角形Deco会不会又被“争相模仿”呢？ [组图共3张] 原图 ,2024-04-29 10:05,1090,53,333
ObVxJvSiZ,据闻，N系可能站起来了，旗下Pro、Ultra版本估计有同款旗舰芯，玄X架构以及XMA影像品牌预计也会吃上  ,2024-04-29 09:29,1584,47,505
ObQgaEwVs, 现在能立马做鸿蒙开发的工程师是真的吃香... 头部大公司都在重金招聘，看样子确实想着大干一场  原图 ,2024-04-28 20:02,928,47,238
ObPmzcBJI,阿果，不是去年用上了“action button”吗？你们猜16怎么着，极大可能会把电源键改为 相同形式  ,2024-04-28 17:45,536,42,202
ObOlFkwUZ,Find X7到底卖的好不好呢？从数据显示，开售3个月，比较上一代出货量增长132%，大超预期的好成绩。如果我没记错，当初刚发布就有网友问过：OPPO怎么不出一个“白色版本”... 绿厂最终响应需求，真推出“白日梦想家”的新版本，配色很搭这套Deco设计。tips：今天开售，你觉着能不能买？  [组图共3张] 原图 ,2024-04-28 15:10,792,56,231
ObN70gJWa,#问界M7追尾大货车起火# 警醒所有车企，安全第一位  ,2024-04-28 12:01,2778,38,551
ObM4oy5mt,把专利图做成渲染图，大概就是这样造型了，但是感觉Deco并不是最终设计，可能还会修正。最大亮点应该还是正面，类似于“瀑布屏”的创新，屏幕直接绕到中框区域  [组图共2张] 原图 ,2024-04-28 09:22,490,44,226
