微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Mzw3T6VzD,5月提前下放正代旗舰芯天玑9200+，8月前后能看到天玑9200+和骁龙8 Gen2混战，而且这些还都是3K价位段机型，中端机打得也太激进了吧。。。。  ,,无,无,无,2023-03-29 15:15,无,4941,35,719
MzvGeuGVy,真我GT Neo5 SE确实不止旗舰芯，业内首款5500mAh+100W，那项榨干锂电池的黑科技用了SUPERVOOC S全链路电源管理芯片，4.5V超薄高密度电芯，还有一些引擎和技术加持。而且144Hz 1.5K旗舰屏功耗很平衡，续航表现可以期待，整体定位确实高一些  原图 ,,https://wx3.sinaimg.cn/large/006BlblIly1hcgpf4xvqzj30mo0e045q.jpg,无,无,2023-03-29 14:17,无,3973,33,638
Mzv3thGIm,旗舰板子好像没人聊过外观，2.8K LCD全面屏观感没问题，目测屏占比略高于前代。还有工程机依旧是微直边设计，后置Deco风格和今年这代旗舰机一致，短期内唯一的骁龙8+平板，不知道能不能定个真香价了~  ,,无,无,无,2023-03-29 12:41,无,3328,20,516
Mzuwk6JbY,"败家之眼的ROG7系列要来了，详细参数：6.78""165Hz AMOLED电竞屏，骁龙8 Gen2满血调度+LPDDR5X满血版+UFS 4.0，前置32Mp，后置50Mp+13Mp+5Mp，6000mAh+65W，IP54防尘防水，整机不到240g。猜猜起步价吧？看会不会涨价。  ",,无,无,无,2023-03-29 11:20,微博  weibo.com,2183,20,343
Mzu0Wl20g,Redmi Note12 Turbo·哈利波特版：●Redmi竟然和哈利波特联名了，定制化细节相当多，包括魔法书造型的包装盒、9¾站台卡针、魔法元素浓厚的手机壳和说明书等等。Redmi Note12 Turbo手机本身也在机身上蚀刻了诸多哈利波特的魔法元素，立体浮雕很有光泽感。●这块1080p柔性直屏如愿去掉了塑料支架，正面观感都相较于前代提升明显。机身堆叠也还行，5000mAh做到了7.9mm/181g。●首发第二代骁龙7+，CPU和GPU架构等同于骁龙8+，日用的流畅度是可圈可点。实测王者119.5fps/2.9W，吃鸡89.5fps/4.1W，原神57.6fps/5.5W。●简单来说，如果你是哈利波特的忠实粉丝，Redmi Note12 Turbo·哈利波特版绝对不容错过，各种定制联名的用心程度堪比手办大厂，送人也是不错的选择             [组图共9张]      原图                             ,,"http://ww3.sinaimg.cn/large/006BlblIly1hcd2oxnuy5j34mo334npf.jpg,http://ww2.sinaimg.cn/large/006BlblIly1hcd2ozyvynj34mo334npf.jpg,http://ww2.sinaimg.cn/large/006BlblIly1hcd2p29t9sj34mo334npf.jpg,http://ww1.sinaimg.cn/large/006BlblIly1hcd2p6znn0j34mo334kjo.jpg,http://ww4.sinaimg.cn/large/006BlblIly1hcd2pba5ajj34mo3341l0.jpg,http://ww4.sinaimg.cn/large/006BlblIly1hcd2pfzz41j34mo334e84.jpg,http://ww3.sinaimg.cn/large/006BlblIly1hcd2pks4n6j34mo334npg.jpg,http://ww1.sinaimg.cn/large/006BlblIly1hcd2pnk9gij34mo334x6r.jpg,http://ww3.sinaimg.cn/large/006BlblIly1hcd2ps7lkcj34mo3347wk.jpg",无,无,2023-03-29 10:02,无,2060,27,356
MztDn6qZR,早  ,,无,无,无,2023-03-29 09:04,无,1462,10,324
MzpOq8PXW,这个正面可还行？  [组图共3张] 原图 ,,"http://ww3.sinaimg.cn/large/006BlblIly1hcfzi8rvbaj32b41jke81.jpg,http://ww3.sinaimg.cn/large/006BlblIly1hcfzi6uelfj32b41jkb29.jpg,http://ww2.sinaimg.cn/large/006BlblIly1hcfziagnsuj32b41jk1kx.jpg",无,无,2023-03-28 23:20,无,6429,50,1326
MzoDkb6YQ,卢总今晚很嗨，Note 12 Turbo定价也很激进，1TB版才2599元。还有那句你要战，那便战，今晚可以说是卢吉思汗了  [组图共3张] 原图 ,,"http://ww3.sinaimg.cn/large/006BlblIly1hcfuaub0y0j33pc2gw1kz.jpg,http://ww1.sinaimg.cn/large/006BlblIly1hcfuautfgqj32gw1n90xw.jpg,http://ww1.sinaimg.cn/large/006BlblIly1hcfuav93dzj318g0xk4by.jpg",无,无,2023-03-28 20:20,无,8646,72,1446
MzomMebOb,Redmi Note12 Turbo，这价格可还行？  原图 ,,https://wx2.sinaimg.cn/large/006BlblIly1hcft4qfyhrj31o01o0atx.jpg,无,无,2023-03-28 19:40,无,12828,91,1613
MznxN78BG,蓝厂的万物互联也在发力中，核心品类还是手机、平板和手表，比如接下来快上的骁龙8G2/8+轻薄折叠屏、天玑9000旗舰平板，新手表稍晚，笔记本和电视规划考虑中。还有跟随安卓大版本更新的OOS4.0也可以蹲  ,,无,无,无,2023-03-28 17:34,无,2577,34,511
