微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
NgYjX8s4d,32Mp IMX709这颗2X人像镜头调得不错，明年Ace也能用上，骁龙8G2 ISP也够用，希望不要阉割算法，中端机是时候来一波影像小越级了  原图 ,,https://wx2.sinaimg.cn/large/006BlblIly1hhes0nwx63j33344mokjm.jpg,无,无,2023-08-30 09:59,无,781,6,221
NgXRZEaIw,骁龙8G3新机都有计划提前发布，或许明年Q1就能看到OVMH四家影像旗舰的大混战，非常激烈  ,,无,无,无,2023-08-30 13:51,无,3281,20,619
NgXsiuqs2,华为Mate60 Pro拆机可以看到散热堆得很猛，大面积VC+氧化石墨烯散热材料，强压麒麟5G。包括之前一堆预备案的5G产品，看起来就是全面回归  [组图共3张] 原图 ,,"http://ww4.sinaimg.cn/large/006BlblIly1hhehuofisfj31z414014i.jpg,http://ww4.sinaimg.cn/large/006BlblIly1hhehuoqsvuj313z0uh7ev.jpg,http://ww4.sinaimg.cn/large/006BlblIly1hheo8x0hqzj313y15yx3t.jpg",无,无,2023-08-30 12:48,无,6969,38,904
NgX08EZMD,早  ,,无,无,无,2023-08-30 11:38,无,3024,16,741
NgWCK2Cdf,华为Mate60，12GB+512GB定价5999:  [组图共5张] 原图 ,,"http://ww2.sinaimg.cn/large/006BlblIly1hhek3y276kj30m80m848a.jpg,http://ww4.sinaimg.cn/large/006BlblIly1hhek3yu8uaj30m80m8tir.jpg,http://ww4.sinaimg.cn/large/006BlblIly1hhek403f5hj30m80m8gt1.jpg,http://ww3.sinaimg.cn/large/006BlblIly1hhek40y35rj30m80m8won.jpg,http://ww1.sinaimg.cn/large/006BlblIly1hheklxt194j314s11p109.jpg",无,无,2023-08-30 10:41,无,8420,85,1848
NgW9nuOyQ,加加12和加加Ace3摸了一下，前者准旗舰级别不说了，样机很初期，相机都打不开，潜望三摄都试不了。Ace3纸面参数看起来相较于Ace2 Pro有升有降，其实是更强，还有些旗舰级参数下放  ,,无,无,无,2023-08-30 09:28,无,2959,16,551
NgVRTDXGr,华为Mate60只是一个开始，麒麟9旗舰平板√  ,,无,无,无,2023-08-30 08:45,无,15596,94,1955
NgSFdsjLw,iPhone 15系列发布会定档北京时间9月13日凌晨1点，到时候看看去年9月的猜测能不能奶上，9月机圈的热度注定属于华子和果子  原图 ,,https://wx3.sinaimg.cn/large/006BlblIly1hhe338ecaoj313z0hen35.jpg,无,无,2023-08-30 00:36,无,8585,42,876
NgRk6rCgA,明年战场更激烈，不止一家自研系统+自研芯片  ,,无,无,无,2023-08-29 21:11,无,18388,151,2615
NgQHijuUl,华为Mate60标准版参数，2.5D直屏:  [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/006BlblIly1hhduc0dep1j313x0vagup.jpg,http://ww3.sinaimg.cn/large/006BlblIly1hhdufy8ls7j313z0gpn2x.jpg",无,无,2023-08-29 19:36,无,13256,102,1546
NgPNO82D7,这个接近直屏的2.7D微曲屏，某不可说骁龙8G3大杯新旗舰也会用，那么大概率就是图二的状态(R角再调整一下，中框换成直角  原图 ,,https://wx4.sinaimg.cn/large/006BlblIly1hhdin1qk03j313y0ow0vb.jpg,无,无,2023-08-29 17:19,无,5340,47,707
NgP34iWLO,Find N3 Flip，这价格怎么样？  原图 ,,https://wx3.sinaimg.cn/large/006BlblIly1hhdn5yc7w0j330m29hkjl.jpg,无,无,2023-08-29 15:24,无,15085,42,1418
NgOwejcEX,华为Mate60系列的麒麟芯片基本确定了，第三方软件识别是1+3+4，识别码Cortex-A78(AE？)+？+A510+Maleoon 910 GPU，参数存疑。反正开始设计性能属于次旗舰，命名是很旗舰的麒麟9。另外，线下渠道说开售时间是9.10，正面硬刚苹果！  [组图共2张] 原图 ,,"http://ww2.sinaimg.cn/large/006BlblIly1hhdkls1um4j313y171anc.jpg,http://ww2.sinaimg.cn/large/006BlblIly1hhdksv8c43j313y0grq8k.jpg",无,无,2023-08-29 14:03,无,25820,312,3090
NgOjA44fk,"华为Mate60 Pro，处理器分析与猜想:Mate60 Pro基带版本:21C50B717S000C000/21C50B717S000C000，和麒麟芯片的命名规则一致。下面是参考数据:●Mate50 骁龙8+基带版本:27970/27970●Mate40 麒麟9000基带版本:21C20B687S000C000,21C20B687S000C000●Mate30 麒麟990基带版本:21C9383875000C000/21C9...全文 ",,无,无,无,2023-08-29 13:32,无,27364,2011,3113
NgNRFjTWa,"华为Mate60 Pro详细参数:6.82""2720*1260p OLED 1440Hz PWM，前置13Mp+3D人脸识别，后置50Mp OIS f/1.4-f/4.0可变光圈主摄+12Mp超广角+48Mp OIS f/3.0 90mm长焦微距，5000mAh+88W+50W，USB 3.1+IP68，支持卫星通话，第二代昆仑玻璃，163.65*79*8.1mm，225g  ",,无,无,无,2023-08-29 12:23,无,11433,95,2050
NgNNwe9Wc,华为Mate60 Pro，官方渲染图:  [组图共4张] 原图 ,,"http://ww2.sinaimg.cn/large/006BlblIly1hhdhn3d35kj30m80m8gy6.jpg,http://ww4.sinaimg.cn/large/006BlblIly1hhdhn3vratj30m80m8k0i.jpg,http://ww2.sinaimg.cn/large/006BlblIly1hhdhn4djmpj30m80m8n96.jpg,http://ww2.sinaimg.cn/large/006BlblIly1hhdhn4skitj30m80m8wqf.jpg",无,无,2023-08-29 12:13,无,6315,120,1360
NgNyci9wL,裤裤的潜望镜方案也有测试OV64B 64Mp，如果大杯能搞个OV50H+OV64B+V3，那就好了(开始做梦  ,,无,无,无,2023-08-29 11:35,无,1987,10,412
NgMZAsuan,阿粮迭代系列看到几个新电池和快充方案，单芯多极耳电池容量有4600mAh±、4860mAh±、5000mAh±，快充方案有90W/120W+50W~  ,,无,无,无,2023-08-29 10:10,无,4088,23,795
NgMy8jQiX,IMX989 OIS f/1.75大光圈 新一代G+P玻塑混合镜头+蔡司T*光学镀膜，如此豪华主摄大杯超大杯都有我说的是已经发布的X90 Pro和X90 Pro+  ,,无,无,无,2023-08-29 09:02,无,3585,24,640
NgHaq10hX,努比亚一英寸工程机，首个IMX989 35mm，听闻内部在优化体积后有落地计划，不过会晚一点  原图 ,,https://wx1.sinaimg.cn/large/006BlblIly1hhcjmmkjooj34mo3344qu.jpg,无,无,2023-08-28 19:20,无,5452,89,890
NgGzLn4av,真我GT5 3万台尝鲜购已售罄，这个数据挺不错，有破记录。另外realme这次起步价卡2999，更多是为了稳住旗舰定位。另外，收到一些消息跟我推测的一致，这次售罄的里面出货大头24GB顶配版，占比到了一半。果然，3799元定价还是很有竞争力的。总的来说，这个定价策略更利于品牌的良性发展，也方便后续推更高端的产品                  原图                             ,,https://wx1.sinaimg.cn/large/006BlblIly1hhclre8r6gj30u00wrtcq.jpg,无,无,2023-08-28 17:50,无,4236,25,700
NgFX12cFO,真我GT5：●优势手感真™好，一整块热锻玻璃工艺的触感很像Unibody，目前我摸过手感最好的中端机，没有之一。屏幕没有塑料支架，边框控制比较好，弧形中框衔接做工不错，虽然是塑料材质。240W属于闪充天花板，不过个人更推荐150W+5240mAh，大电池更有安全感。性能释放没啥问题，系统也做了很多轻...全文 [组图共9张] 原图 ,,"http://ww4.sinaimg.cn/large/006BlblIly1hhcizqqpwvj34kj31oqv6.jpg,http://ww4.sinaimg.cn/large/006BlblIly1hhb53qt6toj34fz2you0y.jpg,http://ww4.sinaimg.cn/large/006BlblIly1hhb53wqup1j331o4kjnpe.jpg,http://ww1.sinaimg.cn/large/006BlblIly1hhcizsxdlsj34mo334e82.jpg,http://ww1.sinaimg.cn/large/006BlblIly1hhcizv7otlj33344moqv7.jpg,http://ww2.sinaimg.cn/large/006BlblIly1hhb53u6qlkj33344mo7wk.jpg,http://ww2.sinaimg.cn/large/006BlblIly1hhcizy2upij33344moqv8.jpg,http://ww3.sinaimg.cn/large/006BlblIly1hhcj009ycrj34mo334npf.jpg,http://ww3.sinaimg.cn/large/006BlblIly1hhcj026ov9j33344monpe.jpg",无,无,2023-08-28 16:14,无,4118,31,666
NgFCCCrgM,真我GT5，这定价你们觉得怎么样？  原图 ,,https://wx1.sinaimg.cn/large/006BlblIly1hhchlmt7eej31o011kdln.jpg,无,无,2023-08-28 15:24,无,6944,51,1247
NgEQc8WHv,或许还有人记得7月我最早发的这个后盖，Mate60系列新工艺就是这个大面积金属+玻璃拼接，下半部分金属是延伸到中框的一体化设计，首个金属触感的5G旗舰？  原图 ,,https://wx3.sinaimg.cn/large/006BlblIly1hh9whnlwg0j30kd0v80yd.jpg,无,无,2023-08-28 13:25,无,8246,50,973
NgEoxnj25,一加Ace2 Pro·原神派蒙定制版，感觉如何？  [组图共6张] 原图 ,,"http://ww2.sinaimg.cn/large/006BlblIly1hhcc2vdy9pj34d73347wl.jpg,http://ww3.sinaimg.cn/large/006BlblIly1hhcc39uu4sj34d7334x6s.jpg,http://ww4.sinaimg.cn/large/006BlblIly1hhcc3p03jcj34d7334b2d.jpg,http://ww3.sinaimg.cn/large/006BlblIly1hhcc45966pj34d7334hdw.jpg,http://ww2.sinaimg.cn/large/006BlblIly1hhcc4fv503j34d7334b2b.jpg,http://ww3.sinaimg.cn/large/006BlblIly1hhcc4qsxsgj34d7334qv7.jpg",无,无,2023-08-28 12:16,无,3023,28,454
NgE0X8Sp8,"真我GT5详细参数，猜猜起步价吧:6.74""1.5K+144Hz+2160Hz PWM超窄直屏，16Mp,50Mp IMX890 OIS+8Mp+2Mp，3.2GHz骁龙8G2+X7独显芯片+24GB+1TB, 240W+4600mAh/150W+5240mAh,无屏幕塑料支架+塑料中框+玻璃机身，红外遥控+X轴马达，8.9mm/205g......  [组图共2张] 原图 ",,"http://ww3.sinaimg.cn/large/006BlblIgy1hhc977xcwlj313y0kvahc.jpg,http://ww4.sinaimg.cn/large/006BlblIgy1hhc978itqvj313z2i3h2x.jpg",无,无,2023-08-28 11:18,无,2099,21,726
NgDHP2Csb,早  ,,无,无,无,2023-08-28 10:31,无,2575,11,571
NgDgbcpzy,镜头排列     OO       O     O  ,,无,无,无,2023-08-28 09:23,无,3215,24,591
NgCSDaR8a,华为Mate60系列哑机泄露了，真就长这样，Deco中间竟然就只是XMAGE和镜头信息，镜头凸起不严重，有淡紫色拼接、黑白拼接、纯黑色拼接。官方预热节奏要开始了，9月正面硬刚苹果……  原图 ,,https://wx1.sinaimg.cn/large/006BlblIly1hhc587wet5j313x0nzwm8.jpg,无,无,2023-08-28 08:25,无,11108,112,2223
NgvDUp4S0,真我GT5的8gen2+24gb+240w配置硬件已经很顶了，旗舰定位待遇就是好，系统这次也提供4年3次大版本更新维护，还有自定义高刷、全应用分身、应用内通话录音等诸多新功能，属实高人一等了。这次软硬全能，性能党、直屏党、游戏党冲吧  ,,无,无,无,2023-08-27 14:00,无,5103,36,1034
Ngp3AAV1a,"今日份尬聊，这两个长焦规格你们怎么选？A，1/1.5""大底潜望镜 3X光学变焦B，1/2""中底潜望镜 5X光学变焦  ",,无,无,无,2023-08-26 21:14,无,3988,34,1147
Ngo8AkR0F,Redmi Note13系列新机三证齐全了，配置外观之前都聊过。系统倒是成谜，之前这机子和14系列同期测试MIUI15，但新系统按理说会给新旗舰首发吧？红米这次可能会再做一套MIUI14预装，等完事再推15  原图 ,,https://wx2.sinaimg.cn/large/006BlblIly1hh9yc6yhurj313z0imqa0.jpg,无,无,2023-08-26 18:53,无,3333,34,599
Ngn4A5TUA,真我Buds Air5参数汇总：50dB主动降噪+4000Hz超宽频降噪+六麦AI通话降噪，12.4mm超大镀钛动圈，4.4g轻巧设计，45ms游戏低延迟+蓝牙5.3，38小时长续航。主打降噪越级，外观比较简约耐看，大家可以蹲一波真香价  原图 ,,https://wx4.sinaimg.cn/large/006BlblIgy1hha4f7e5slj34mo334e82.jpg,无,无,2023-08-26 16:11,无,2000,23,327
NglWEup98,接下来直屏和曲屏在安卓旗舰机阵列要分庭抗礼了，传闻三星S24系列全直，某不可说大厂把曲做得像直，菊厂新旗舰也主推直，直屏爱好者选择多起来了  ,,无,无,无,2023-08-26 13:18,无,6158,70,1152
Ngl0nmJrK,红红那个机子选型就是对标耀耀X50，1.5K屏幕方案略好，120W闪充更好，2亿主摄影像方案更好，电池容量不如耀耀，都是低功耗够用的平台，看定价怎么样了  ,,无,无,无,2023-08-26 10:55,无,3547,27,676
NgklVEYQm,一加12和真我GT5 Pro会在4K价位段搅弄风云，2K、金属中框、50W无线充、OV64B潜望镜一个不缺，防尘防水也有做，不知道验证等级，真的很均衡啊  ,,无,无,无,2023-08-26 09:15,无,6129,65,1749
NgejDBiJS,1.5K的1.5K 2K的2K  原图 ,,https://wx1.sinaimg.cn/large/006BlblIly1hh92dh0vikj313y0e943d.jpg,无,无,2023-08-25 17:53,无,3153,22,474
NgdFL7Xt0,骁龙8 Gen3普通版来了，1*3.19GHz X4+5*2.96GHz A720+2*2.27GHz A520，Adreno 750 GPU。这个跑分比较早期，量产机GB5 1.7K/6.6K±，机型是红魔9。年底会有一大波新机登场，打起来打起来！  原图 ,,https://wx1.sinaimg.cn/large/006BlblIly1hh91z8i5gbj313w1lo7dw.jpg,无,无,2023-08-25 16:15,无,4322,43,786
Ngdcemnpy,"红米两款懂自懂的走量中端新机上线工信部：6.67""2712×1220p 1.5K OLED，2.8GHz/2.4GHz双版本处理器，前置16Mp，后置200Mp+8Mp+2Mp，双版本额定容量分别4880mAh/5020mAh，三维分别161.43*74.2*9.0mm/7.98mm，203.96g/187g  [组图共2张] 原图 ",,"http://ww3.sinaimg.cn/large/006BlblIly1hh8zw33fbqj313z0vi7hl.jpg,http://ww2.sinaimg.cn/large/006BlblIly1hh8zw3fqwjj313t0vi4by.jpg",无,无,2023-08-25 15:02,无,3147,22,551
NgcWLcqfH,在朋友那里看到一组CAD数据，不知道哪家的超大杯  [组图共3张] 原图 ,,"http://ww1.sinaimg.cn/large/006BlblIly1hh8x3op9ccj313x0xqq55.jpg,http://ww3.sinaimg.cn/large/006BlblIly1hh8x3p2cbwj313z13d0vf.jpg,http://ww2.sinaimg.cn/large/006BlblIly1hh8x3pdi9yj313w0thwhe.jpg",无,无,2023-08-25 14:24,无,5735,64,820
Ngcuk5VB7,子系旗舰金属中框和3X中长焦都回归了~  ,,无,无,无,2023-08-25 13:14,无,5242,19,832
NgbTt1muU,线稿被按住了，我只能说真机看起来还不错，中杯和大杯镜头的凸起控制很好，超大杯相对比较激凸，AG玻璃机身配色不错，整体看起来比较符合大众化审美了  ,,无,无,无,2023-08-25 11:43,无,3238,25,612
NgbvjqQtu,真我GT5 1.5K+144Hz柔性直屏，干掉了塑料支架，屏幕上视觉观感和加加那款差不多。除了自定义高刷，这次系统还新增了色温球调节，色彩调节更精准，又是ColorOS没有的独占功能  [组图共3张] 原图 ,,"http://ww2.sinaimg.cn/large/006BlblIly1hh8sg73cu9j30yg250wn3.jpg,http://ww4.sinaimg.cn/large/006BlblIly1hh8sg6iqz9j30yg250gu5.jpg,http://ww1.sinaimg.cn/large/006BlblIly1hh8sg7l2mkj30yg25078o.jpg",无,无,2023-08-25 10:43,无,3317,32,598
Ngbk7BPY6,再来说一下快充的标配方案，目前看到的工程机方案是阿粮90W有线充+50W无线充，阿蓝100W/120W有线充，欧加系100W有线充+50W无线充。  ,,无,无,无,2023-08-25 10:16,无,3531,22,642
NgaQwncLq,一口气说完，X7、X100、14、12、GT5 Pro这几个4K价位段迭代新机的长焦标配焦距都是3.X± 50Mp/64Mp  ,,无,无,无,2023-08-25 09:03,无,3876,36,845
Ng5Bx3MbY,1.5K+骁龙8G2的商务风竖向小折叠，想要吗  ,,无,无,无,2023-08-24 19:42,无,3531,24,613
Ng4iJ0QFA,"骁龙8G3中杯的影像还是挺能打的，50Mp 1/1.28""超大底新主摄，光学镀膜和镜头都换新，50Mp 3.2X直立长焦上了新架构新算法，打磨得炉火纯青~  ",,无,无,无,2023-08-24 16:23,无,4208,43,1072
Ng3nXDIsO,真我GT5外观出来了，横向超大三摄矩阵模组+觉醒光环RGB灯带，一如既往地高辨识度设计。realme和比亚迪联合首发的奇迹玻璃后盖是最大亮点，行业最大面积的热锻曲面工艺，手感有点类似Unibody，非常顺滑细腻，是我目前摸过手感最好的性能机，没有之一  原图 ,,https://wx1.sinaimg.cn/large/006BlblIly1hh7u0ieyi5j31uo2gw7wh.jpg,无,无,2023-08-24 14:03,无,2904,16,653
Ng38SqZTN,早  ,,无,无,无,2023-08-24 13:26,无,4825,23,513
Ng2wbCE82,iQOO Z8，千元高性能LCD，这个外观可还行？  原图 ,,https://wx4.sinaimg.cn/large/006BlblIly1hh7o4d6ibfj326i1s01c1.jpg,无,无,2023-08-24 11:51,无,3423,25,926
Ng1SYE3hx,早  ,,无,无,无,2023-08-24 10:14,无,1612,11,456
Ng1mIoAmK,OPPO Find N3 Flip，天玑9200竖向小折叠，主要升级哈苏三摄影像和三段式按键。OPPO Watch4 Pro，骁龙W5+BES2700双芯智能手表，主要升级精钢陶瓷机身，两款新设备感受一下：  [组图共3张] 原图 ,,"http://ww1.sinaimg.cn/large/006BlblIly1hh7jp3me7ij31o01o07mf.jpg,http://ww2.sinaimg.cn/large/006BlblIly1hh7jp4icguj3140140kff.jpg,http://ww2.sinaimg.cn/large/006BlblIly1hh7jp5930sj31401404fn.jpg",无,无,2023-08-24 08:55,无,5090,29,857
NfVpFgLPn,天马黑标产线的新屏幕T8新基材，分辨率1.5K/2K，全屏亮度1300nit+，峰值亮度2600nit+，3000Hz ±PWM高频调光+类DC调光，迭代中高端机和某骁龙8G3旗舰有安排  ,,无,无,无,2023-08-23 17:46,无,3685,32,780
NfUl6aLE9,这个月底都有三款新机赶着发布，一台1.5K OLED骁龙8G2直屏机，一台1080p OLED天玑9200折叠屏，一台1080p LCD天玑8200直屏机，下个月主战场属于真旗舰  ,,无,无,无,2023-08-23 15:02,无,5239,39,699
NfTScAtPh,明年我们可以看到200X混合数字变焦，300X±变焦范围的影像旗舰，确信  ,,无,无,无,2023-08-23 13:50,无,5946,44,968
NfT4Fh4Sk,2023Q2国内高端机Sell out实销数据摸了一下：1，苹果和菊厂都是以高端份额为主，其中苹果单品销量都是统治地位，iPhone 14 200W+，Pro和Pro Max都是300W+。P60降价后销量回升明显，单品90W±，处于国产高端机型的领先地位，M50单品50W±。2，粮厂高端份额呈上升趋势，13系列三款机型卖得都还行，13单...全文 ,,无,无,无,2023-08-23 11:48,无,8429,77,1442
NfSLLmRwL,阿蓝在供应量开的新料子有1.5K国产屏和2K E7，都是有直曲双形态，懂我的意思吧👖  ,,无,无,无,2023-08-23 11:02,无,3127,20,727
NfSlGE3Vt,真我GT5首发240W长寿版闪充方案，SUPERVOOC S电源管理芯片加持，充放电都摸到现阶段的极限了。之前有说过300W级别闪充方案各家都放缓了，唯一量产240W的真我依旧是行业最强的，这次还给自家旗舰机也安排上了，领先竞品一个身位  ,,无,无,无,2023-08-23 09:58,无,3724,30,661
NfRWVy7Yy,骁龙8G3超大杯工程机是明年更加少见的四摄双焦段方案，潜望镜原生50Mp 5X-120X，硬件整合新架构~  ,,无,无,无,2023-08-23 08:57,无,3410,22,644
NfMkcp070,我蓝和友商用同样的传感器，不仅焦距长，光圈还大，长焦确实遥遥领先🥰  ,,无,无,无,2023-08-22 18:37,无,5339,35,740
NfL79AY6f,居中单孔曲面屏+居中大圆三摄好了，第三方可以开始猜渲染图了，我静静看着  ,,无,无,无,2023-08-22 15:32,无,4866,25,848
NfKJHfJD8,MIUI15基于安卓底层常规迭代，今年会正常更新上机。现阶段安卓14底层的MIUI已经接入部分新特性了，比如更好用的全局自由小窗，App弹窗信息和游戏登录跳转App等操作都可以窗口化，文件系统改成了MIFS。  ,,无,无,无,2023-08-22 14:35,无,8584,81,1231
NfKiQ7ILh,iQOO Z8首个跑分97W+，目前跑分最高的天玑8200机型，顶配12+512GB，iQOO+天玑的性能释放还是很强的。其它详细配置之前都聊过了，罕见的LCD高性能新机，快来了  原图 ,,https://wx2.sinaimg.cn/large/006BlblIly1hh5ghq9my3j313q0ik79w.jpg,无,无,2023-08-22 13:29,无,3019,36,601
NfJD4q13m,之前说过，很多家都开始跟进24GB了，不过目前从备货信息和出货信息来看，一加还是量大管饱，后面的新机都要安排，遥遥领先！不过这次Ace2 Pro销量远超预期，24GB前期备货也有点悬，明天可以蹲一下  原图 ,,https://wx4.sinaimg.cn/large/006BlblIly1hh5diwcpdrj313x0dwq7f.jpg,无,无,2023-08-22 11:46,无,4663,35,789
NfJjMBSmW,确实会整活，真我GT5除了GT模式，还新增了极客性能面板，支持自定义骁龙8G2的CPU频率，大游戏可以小中大核全频满载，小游戏可以限制低频。这个之前只能Root实现，realme直接官方开放，这是要性能自由的意思？  [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/006BlblIly1hh5c2vrhraj32500yg7ej.jpg,http://ww2.sinaimg.cn/large/006BlblIly1hh5c2v58n8j32500yg10c.jpg",无,无,2023-08-22 10:58,无,3988,37,637
NfIZfjhSX,全端自研系统，兼容AOSP  ,,无,无,无,2023-08-22 10:07,无,14044,118,2336
NfIwLrApe,2K高频调光国产新基材曲屏，骁龙8G3+16GB/24GB，50Mp IMX9xx新主摄+50Mp超广角+64Mp 3X潜望长焦，5400mAh+100W+50W，金属中框，超薄光学指纹，超大尺寸X轴马达，超大VC散热面积，目前工程机规格  ,,无,无,无,2023-08-22 08:57,无,3694,36,1142
NfCANqwON,一加12计划提前到年底，甚至准备抢骁龙8G3首发  ,,无,无,无,2023-08-21 17:51,无,7208,34,1399
NfBQP7GBk,在代工厂看到一个旗舰新机，前置居中单孔曲面屏，后置居中大圆镜头模组+金属刻度圈，应该是主打全焦段四摄，主摄尺寸和潜望镜尺寸都不小。金属中框是弧形，一个素皮，一个玻璃，一个素皮+玻璃拼接，但不知道哪家  ,,无,无,无,2023-08-21 15:58,无,3303,30,765
NfBcr5x0W,realme五周年新品除了真我GT5，新耳机真我Buds Air5也来了，“熊猫色”黑白撞色设计，降噪深度干到了目前行业最高的50dB，还做了4000Hz超宽频降噪+六麦AI通话降噪，音质和续航相比上一代也有所提升，这波又是狠狠越级  原图 ,,https://wx2.sinaimg.cn/large/006BlblIly1hh4cb6c5i0j32801e0q56.jpg,无,无,2023-08-21 14:18,无,2587,20,398
NfAYBfwfM,早  ,,无,无,无,2023-08-21 13:44,无,2097,6,471
NfAyWAeJO,"N3双屏分辨率都很高，内屏7.82""2268×2440p，外屏6.31""2484*1116p，20：9比例，PPI在折叠屏里属于最高一档。然后这代有个典藏版，系列开始到后面的新旗舰全都有16GB LPDDR5X+1TB UFS 4.0，24GB还在考量。  ",,无,无,无,2023-08-21 12:41,无,1711,24,359
NfA41rb6G,#真我手机21个国家销量前五#  真我GT5定档8.28，新机主打性能越级+系统越级+质感越级。这次还有五周年演讲，貌似现在很流行这个？话说回来，我也算是见证了realme的成长，19年回国的第一款产品就开始关注，slogan「敢越级」，在中端价位推行升降摄像头、5G、超级闪充等旗舰级参数，那几年行业确实卷...全文 原图 ,,https://wx3.sinaimg.cn/large/a66d0169ly8hh45euv2yej20u04ci4qp.jpg,无,无,2023-08-21 11:25,微博  weibo.com,3174,30,636
NfzusaKA7,早  ,,无,无,无,2023-08-21 09:57,无,2041,19,491
Nfz3FwStQ,早  ,,无,无,无,2023-08-21 08:51,无,4766,22,1026
Nfs4t3CyV,最近几家的新机都在用了，真我GT5的1.5K直屏干掉了塑料支架，边框控制是三家中最窄的，手感也是最好的，机身质感比大多数旗舰机还好  原图 ,,https://wx4.sinaimg.cn/large/006BlblIly1hh380cybvyj31xg1ab0xg.jpg,无,无,2023-08-20 15:04,无,5816,58,1303
Nfr0DrJQX,K60至尊版顶配24GB+1TB，实测开机可用内存20.6GB，开启20个App可用内存15.3GB，后台放一晚14小时保活18个，还是挺强的。不过啊，普通用户还是推荐16GB，差不多够用了  [组图共3张] 原图 ,,"http://ww1.sinaimg.cn/large/006BlblIly1hh31d9ardij30xw23cn49.jpg,http://ww1.sinaimg.cn/large/006BlblIly1hh31da6hf5j30xw23c1cy.jpg,http://ww1.sinaimg.cn/large/006BlblIly1hh31db0vrtj30xw23ch0w.jpg",无,无,2023-08-20 12:21,无,6492,49,1013
NfqmQEuCK,蓝厂昨天官宣了X100系列，年底之前（11月）发布最新最强的影像旗舰X100 Pro，X100 Pro+明年发布  原图 ,,https://wx1.sinaimg.cn/large/006BlblIly1hh2xks77j6j313z0g8n2c.jpg,无,无,2023-08-20 10:43,无,4385,53,1064
NfjdD9jl1,今日份尬聊，超广角和2X人像中焦你们哪个用得多？  ,,无,无,无,2023-08-19 16:32,无,5794,28,1308
Nfiub0IhA,阿米营销确实不太上道，折叠屏硅碳负极材料的澎湃电芯的体积和能量密度也很顶，单块厚度只有2.4mm  原图 ,,https://wx1.sinaimg.cn/large/006BlblIgy1hh21oxxwf8j32dc1k6qv5.jpg,无,无,2023-08-19 14:40,无,15410,116,1585
NfhLmenk1,"iQOO Z8，6.64""2388*1080p LCD居中单孔高刷直屏，天玑8200+8GB/12GB，5000mAh+120W超级闪充，前置16Mp，后置64Mp OIS+2Mp，OriginOS 3.0，猜猜价格吧：  ",,无,无,无,2023-08-19 12:49,无,3603,30,990
Nfh03tQVr,骁龙8G3在10月底发布，小米14系列新旗舰就大概率还是11月。MIUI15如果单独开发布会，那么应该在手机之前，也就是10月份，到时候可以顺便官宣新旗舰。这些都是我猜的，以官方为准  ,,无,无,无,2023-08-19 10:53,无,6838,65,1010
NfgCJ2VCa,谁说三摄不能做全焦段？超广角、广角、中焦、长焦、超长焦，软硬融合的焦段覆盖比市面上所有手机都要多。tips：包括三星  ,,无,无,无,2023-08-19 09:55,无,3295,23,660
NfgeKEWyh,K60 Ultra国际版是小米13T Pro，50Mp IMX707 OIS超大底主摄+13Mp超广角+50Mp OV50D 2X光变中焦，最关键是有徕卡加持，首个天玑徕卡。国内就不奢望徕卡了，这套影像方向微调下放K吧  [组图共3张] 原图 ,,"http://ww2.sinaimg.cn/large/006BlblIly1hh1rduqxr7j32dc1kw4qp.jpg,http://ww1.sinaimg.cn/large/006BlblIly1hh1rdv54e7j314u0pl0yr.jpg,http://ww4.sinaimg.cn/large/006BlblIly1hh1rfb98nsj313y0t247l.jpg",无,无,2023-08-19 08:56,无,6725,43,846
Nfbt3tlYS,#小米平板6Max14# 原本想不通谁会需要个这么大的平板？结果发现好多网友已经开始研究怎么把它做成扩展屏了，商品评价页面都是一溜烟的好评，看来这玩意还是很有市场潜力的，关键是现在入手只要3599起，这价格搞一块这么大的平板，确实是舒服了。小米平板的微博视频  ,,无,"https://f.video.weibocdn.com/o0/c37rYwizlx087TEshp8401041200i2Dd0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1693385446&ssig=dsyzFvKyuN&KID=unistore,video",无,2023-08-18 20:48,微博视频号,2835,28,557
NfaSn4h7C,小爱同学AI大模型，浅玩一下 数码闲聊站的微博视频  ,,无,"https://f.video.weibocdn.com/o0/umqwCot0lx087UdDr0Tu01041202CZ9Q0E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1693385447&ssig=HIifl0aKLU&KID=unistore,video",无,2023-08-18 19:17,微博视频号,8214,176,704
Nfap6r7em,天玑9300和骁龙8G3终端大战基本确定11月，这次高通平台的首发恐再生变数，好几家要抢首发  ,,无,无,无,2023-08-18 18:05,无,6699,27,864
Nf9qaxZeY,荣耀备案了两台折叠屏，一个超轻薄大屏内折，工程机是2K 3840Hz PWM+骁龙8++66W青海湖大电池。一个是超轻薄大屏外折，这个之前说过是对打竞品的小折叠，定价比较便宜。再往后是Magic6系列，有小提前  ,,无,无,无,2023-08-18 15:35,无,2240,18,418
